Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
All PEOPLE,ni0010001,ni001,Household: Accommodation Type - 3 Categories,Count,Person,Household: Accommodation Type - 3 Categories: All PEOPLE
Whole house or bungalow,ni0010002,ni001,Household: Accommodation Type - 3 Categories,Count,Person,Household: Accommodation Type - 3 Categories: Whole house or bungalow
"Flat, maisonette or apartment, a caravan or other mobile or temporary structure",ni0010003,ni001,Household: Accommodation Type - 3 Categories,Count,Person,"Household: Accommodation Type - 3 Categories: Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
All PEOPLE,ni0020001,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: All PEOPLE
Whole house or bungalow: Detached,ni0020002,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: Whole house or bungalow: Detached
Whole house or bungalow: Semi-detached,ni0020003,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: Whole house or bungalow: Semi-detached
Whole house or bungalow: Terraced (including end-terrace),ni0020004,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: Whole house or bungalow: Terraced (including end-terrace)
"Flat, maisonette or apartment, a caravan or other mobile or temporary structure",ni0020005,ni002,Household: Accommodation Type - 5 Categories,Count,Person,"Household: Accommodation Type - 5 Categories: Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
All PEOPLE,ni0030001,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: All PEOPLE
Whole house or bungalow: Detached,ni0030002,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Whole house or bungalow: Detached
Whole house or bungalow: Semi-detached,ni0030003,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Whole house or bungalow: Semi-detached
Whole house or bungalow: Terraced (including end-terrace),ni0030004,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Whole house or bungalow: Terraced (including end-terrace)
"Flat, maisonette or apartment: Purpose-built block of flats",ni0030005,ni003,Household: Accommodation Type,Count,Person,"Household: Accommodation Type: Flat, maisonette or apartment: Purpose-built block of flats"
"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",ni0030006,ni003,Household: Accommodation Type,Count,Person,"Household: Accommodation Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
"Flat, maisonette or apartment: In a commercial building (for example in an office building, hotel, or over a shop)",ni0030007,ni003,Household: Accommodation Type,Count,Person,"Household: Accommodation Type: Flat, maisonette or apartment: In a commercial building (for example in an office building, hotel, or over a shop)"
Caravan or other mobile or temporary structure,ni0030008,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Caravan or other mobile or temporary structure
All PEOPLE,ni0040001,ni004,Address One Year Ago,Count,Person,Address One Year Ago: All PEOPLE
Lived at same address one year ago,ni0040002,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived at same address one year ago
Lived elsewhere one year ago; within Northern Ireland,ni0040003,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived elsewhere one year ago; within Northern Ireland
Lived elsewhere one year ago; outside Northern Ireland - within England/Scotland/Wales,ni0040004,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived elsewhere one year ago; outside Northern Ireland - within England/Scotland/Wales
Lived elsewhere one year ago; outside Northern Ireland - within the Republic of Ireland,ni0040005,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived elsewhere one year ago; outside Northern Ireland - within the Republic of Ireland
Lived elsewhere one year ago; outside the UK and Republic of Ireland,ni0040006,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived elsewhere one year ago; outside the UK and Republic of Ireland
All PEOPLE,ni0050001,ni005,Address One Year Ago - 4 Categories,Count,Person,Address One Year Ago - 4 Categories: All PEOPLE
Lived at same address one year ago,ni0050002,ni005,Address One Year Ago - 4 Categories,Count,Person,Address One Year Ago - 4 Categories: Lived at same address one year ago
Lived elsewhere one year ago; within Northern Ireland,ni0050003,ni005,Address One Year Ago - 4 Categories,Count,Person,Address One Year Ago - 4 Categories: Lived elsewhere one year ago; within Northern Ireland
Lived elsewhere one year ago; outside Northern Ireland,ni0050004,ni005,Address One Year Ago - 4 Categories,Count,Person,Address One Year Ago - 4 Categories: Lived elsewhere one year ago; outside Northern Ireland
All PEOPLE,ni0060001,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: All PEOPLE
Age 16-24 years: No dependent children in household,ni0060002,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 16-24 years: No dependent children in household
Age 16-24 years: Dependent children in household,ni0060003,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 16-24 years: Dependent children in household
Age 25-34 years: No dependent children in household,ni0060004,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 25-34 years: No dependent children in household
Age 25-34 years: Dependent children in household,ni0060005,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 25-34 years: Dependent children in household
Age 35-54 years: No dependent children in household,ni0060006,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 35-54 years: No dependent children in household
Age 35-54 years: Dependent children in household,ni0060007,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 35-54 years: Dependent children in household
Age 55-65 years: No dependent children in household,ni0060008,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 55-65 years: No dependent children in household
Age 55-65 years: Dependent children in household,ni0060009,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 55-65 years: Dependent children in household
Age 66+ years: No dependent children in household,ni0060010,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 66+ years: No dependent children in household
Age 66+ years: Dependent children in household,ni0060011,ni006,Adult Lifestage - 11 Categories,Count,Person,Adult Lifestage - 11 Categories: Age 66+ years: Dependent children in household
All PEOPLE,ni0070001,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: All PEOPLE
Age 16-24 years: No dependent children in household,ni0070002,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 16-24 years: No dependent children in household
Age 16-24 years: Dependent children in household,ni0070003,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 16-24 years: Dependent children in household
Age 25-54 years: No dependent children in household,ni0070004,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 25-54 years: No dependent children in household
Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 0-4 years,ni0070005,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 0-4 years
Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 5-11 years,ni0070006,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 5-11 years
Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 12-18 years,ni0070007,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 12-18 years
Age 55-65 years: One person household,ni0070008,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 55-65 years: One person household
Age 55-65 years: Two or more person household: No dependent children,ni0070009,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 55-65 years: Two or more person household: No dependent children
Age 55-65 years: Two or more person household: Dependent children in household,ni0070010,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 55-65 years: Two or more person household: Dependent children in household
Age 66+ years: One person household,ni0070011,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 66+ years: One person household
Age 66+ years: Two or more person household: No dependent children,ni0070012,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 66+ years: Two or more person household: No dependent children
Age 66+ years: Two or more person household: Dependent children in household,ni0070013,ni007,Adult Lifestage - 13 Categories,Count,Person,Adult Lifestage - 13 Categories: Age 66+ years: Two or more person household: Dependent children in household
All PEOPLE,ni0080001,ni008,Adult Lifestage,Count,Person,Adult Lifestage: All PEOPLE
Age 16-24 years: No dependent children in household,ni0080002,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 16-24 years: No dependent children in household
Age 16-24 years: Dependent children in household,ni0080003,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 16-24 years: Dependent children in household
Age 25-34 years: No dependent children in household,ni0080004,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 25-34 years: No dependent children in household
Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 0-4 years,ni0080005,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 0-4 years
Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 5-11 years,ni0080006,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 5-11 years
Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 12-18 years,ni0080007,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 12-18 years
Age 35-54 years: No dependent children in household,ni0080008,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 35-54 years: No dependent children in household
Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 0-4 years,ni0080009,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 0-4 years
Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 5-11 years,ni0080010,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 5-11 years
Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 12-18 years,ni0080011,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 12-18 years
Age 55-65 years: One person household,ni0080012,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 55-65 years: One person household
Age 55-65 years: Two or more person household: No dependent children,ni0080013,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 55-65 years: Two or more person household: No dependent children
Age 55-65 years: Two or more person household: Dependent children in household,ni0080014,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 55-65 years: Two or more person household: Dependent children in household
Age 66-74 years: One person household,ni0080015,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 66-74 years: One person household
Age 66-74 years: Two or more person household: No dependent children,ni0080016,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 66-74 years: Two or more person household: No dependent children
Age 66-74 years: Two or more person household: Dependent children in household,ni0080017,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 66-74 years: Two or more person household: Dependent children in household
Age 75+ years: One person household,ni0080018,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 75+ years: One person household
Age 75+ years: Two or more person household: No dependent children,ni0080019,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 75+ years: Two or more person household: No dependent children
Age 75+ years: Two or more person household: Dependent children in household,ni0080020,ni008,Adult Lifestage,Count,Person,Adult Lifestage: Age 75+ years: Two or more person household: Dependent children in household
All PEOPLE,ni0090001,ni009,Adult Lifestage - 6 Categories,Count,Person,Adult Lifestage - 6 Categories: All PEOPLE
Age 16-34 years: No dependent children in household,ni0090002,ni009,Adult Lifestage - 6 Categories,Count,Person,Adult Lifestage - 6 Categories: Age 16-34 years: No dependent children in household
Age 16-34 years: Dependent children in household,ni0090003,ni009,Adult Lifestage - 6 Categories,Count,Person,Adult Lifestage - 6 Categories: Age 16-34 years: Dependent children in household
Age 35-54 years: No dependent children in household,ni0090004,ni009,Adult Lifestage - 6 Categories,Count,Person,Adult Lifestage - 6 Categories: Age 35-54 years: No dependent children in household
Age 35-54 years: Dependent children in household,ni0090005,ni009,Adult Lifestage - 6 Categories,Count,Person,Adult Lifestage - 6 Categories: Age 35-54 years: Dependent children in household
Age 55 + years,ni0090006,ni009,Adult Lifestage - 6 Categories,Count,Person,Adult Lifestage - 6 Categories: Age 55 + years
All PEOPLE,ni0100001,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: All PEOPLE
Age 16-34 years: No dependent children in household,ni0100002,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 16-34 years: No dependent children in household
Age 16-34 years: Dependent children in household,ni0100003,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 16-34 years: Dependent children in household
Age 35-54 years: No dependent children in household,ni0100004,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 35-54 years: No dependent children in household
Age 35-54 years: Dependent children in household,ni0100005,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 35-54 years: Dependent children in household
Age 55-65 years: No dependent children in household,ni0100006,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 55-65 years: No dependent children in household
Age 55-65 years: Dependent children in household,ni0100007,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 55-65 years: Dependent children in household
Age 66+ years,ni0100008,ni010,Adult Lifestage - 8 Categories,Count,Person,Adult Lifestage - 8 Categories: Age 66+ years
All PEOPLE,ni0110001,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: All PEOPLE
0-9 years,ni0110002,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 0-9 years
10-19 years,ni0110003,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 10-19 years
20-29 years,ni0110004,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 20-29 years
30-39 years,ni0110005,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 30-39 years
40-49 years,ni0110006,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 40-49 years
50-59 years,ni0110007,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 50-59 years
60-69 years,ni0110008,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 60-69 years
70-79 years,ni0110009,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 70-79 years
80-89 years,ni0110010,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 80-89 years
90+ years,ni0110011,ni011,Age - 10 Categories,Count,Person,Age - 10 Categories: 90+ years
All PEOPLE,ni0120001,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: All PEOPLE
0-4 years,ni0120002,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 0-4 years
5-9 years,ni0120003,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 5-9 years
10-14 years,ni0120004,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 10-14 years
15-19 years,ni0120005,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 15-19 years
20-24 years,ni0120006,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 20-24 years
25-29 years,ni0120007,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 25-29 years
30-34 years,ni0120008,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 30-34 years
35-39 years,ni0120009,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 35-39 years
40-44 years,ni0120010,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 40-44 years
45-49 years,ni0120011,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 45-49 years
50-54 years,ni0120012,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 50-54 years
55-59 years,ni0120013,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 55-59 years
60-64 years,ni0120014,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 60-64 years
65-69 years,ni0120015,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 65-69 years
70-74 years,ni0120016,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 70-74 years
75-79 years,ni0120017,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 75-79 years
80-84 years,ni0120018,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 80-84 years
85-89 years,ni0120019,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 85-89 years
90+ years,ni0120020,ni012,Age - 19 Categories,Count,Person,Age - 19 Categories: 90+ years
All PEOPLE,ni0130001,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: All PEOPLE
0-15 years,ni0130002,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 0-15 years
16-24 years,ni0130003,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 16-24 years
25-29 years,ni0130004,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 25-29 years
30-34 years,ni0130005,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 30-34 years
35-39 years,ni0130006,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 35-39 years
40-44 years,ni0130007,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 40-44 years
45-49 years,ni0130008,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 45-49 years
50-54 years,ni0130009,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 50-54 years
55-59 years,ni0130010,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 55-59 years
60-64 years,ni0130011,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 60-64 years
65+ years,ni0130012,ni013,Age - 11 Categories,Count,Person,Age - 11 Categories: 65+ years
All PEOPLE,ni0140001,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: All PEOPLE
0-15 years,ni0140002,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 0-15 years
16-24 years,ni0140003,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 16-24 years
25-29 years,ni0140004,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 25-29 years
30-34 years,ni0140005,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 30-34 years
35-39 years,ni0140006,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 35-39 years
40-44 years,ni0140007,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 40-44 years
45-49 years,ni0140008,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 45-49 years
50-54 years,ni0140009,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 50-54 years
55-59 years,ni0140010,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 55-59 years
60-64 years,ni0140011,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 60-64 years
65-74 years,ni0140012,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 65-74 years
75+ years,ni0140013,ni014,Age - 12 Categories,Count,Person,Age - 12 Categories: 75+ years
All PEOPLE,ni0150001,ni015,Age - 2 Categories A,Count,Person,Age - 2 Categories A: All PEOPLE
0-15 years,ni0150002,ni015,Age - 2 Categories A,Count,Person,Age - 2 Categories A: 0-15 years
16+ years,ni0150003,ni015,Age - 2 Categories A,Count,Person,Age - 2 Categories A: 16+ years
All PEOPLE,ni0160001,ni016,Age - 2 Categories B,Count,Person,Age - 2 Categories B: All PEOPLE
0-17 years,ni0160002,ni016,Age - 2 Categories B,Count,Person,Age - 2 Categories B: 0-17 years
18+ years,ni0160003,ni016,Age - 2 Categories B,Count,Person,Age - 2 Categories B: 18+ years
All PEOPLE,ni0170001,ni017,Age - 2 Categories C,Count,Person,Age - 2 Categories C: All PEOPLE
0-20 years,ni0170002,ni017,Age - 2 Categories C,Count,Person,Age - 2 Categories C: 0-20 years
21+ years,ni0170003,ni017,Age - 2 Categories C,Count,Person,Age - 2 Categories C: 21+ years
All PEOPLE,ni0180001,ni018,Age - 2 Categories D,Count,Person,Age - 2 Categories D: All PEOPLE
0-65 years,ni0180002,ni018,Age - 2 Categories D,Count,Person,Age - 2 Categories D: 0-65 years
66+ years,ni0180003,ni018,Age - 2 Categories D,Count,Person,Age - 2 Categories D: 66+ years
All PEOPLE,ni0190001,ni019,Age - 3 Categories A,Count,Person,Age - 3 Categories A: All PEOPLE
0-15 years,ni0190002,ni019,Age - 3 Categories A,Count,Person,Age - 3 Categories A: 0-15 years
16-65 years,ni0190003,ni019,Age - 3 Categories A,Count,Person,Age - 3 Categories A: 16-65 years
66+ years,ni0190004,ni019,Age - 3 Categories A,Count,Person,Age - 3 Categories A: 66+ years
All PEOPLE,ni0200001,ni020,Age - 3 Categories B,Count,Person,Age - 3 Categories B: All PEOPLE
0-15 years,ni0200002,ni020,Age - 3 Categories B,Count,Person,Age - 3 Categories B: 0-15 years
16-74 years,ni0200003,ni020,Age - 3 Categories B,Count,Person,Age - 3 Categories B: 16-74 years
75+ years,ni0200004,ni020,Age - 3 Categories B,Count,Person,Age - 3 Categories B: 75+ years
All PEOPLE,ni0210001,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: All PEOPLE
0-15 years,ni0210002,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 0-15 years
16-24 years,ni0210003,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 16-24 years
25-34 years,ni0210004,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 25-34 years
35-44 years,ni0210005,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 35-44 years
45-54 years,ni0210006,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 45-54 years
55-64 years,ni0210007,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 55-64 years
65+ years,ni0210008,ni021,Age - 7 Categories A,Count,Person,Age - 7 Categories A: 65+ years
All PEOPLE,ni0220001,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: All PEOPLE
0-15 years,ni0220002,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 0-15 years
16-17 years,ni0220003,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 16-17 years
18-19 years,ni0220004,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 18-19 years
20-24 years,ni0220005,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 20-24 years
25-39 years,ni0220006,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 25-39 years
40-64 years,ni0220007,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 40-64 years
65+ years,ni0220008,ni022,Age - 7 Categories B,Count,Person,Age - 7 Categories B: 65+ years
All PEOPLE,ni0230001,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: All PEOPLE
0-15 years,ni0230002,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 0-15 years
16-24 years,ni0230003,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 16-24 years
25-34 years,ni0230004,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 25-34 years
35-44 years,ni0230005,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 35-44 years
45-54 years,ni0230006,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 45-54 years
55-64 years,ni0230007,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 55-64 years
65-74 years,ni0230008,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 65-74 years
75+ years,ni0230009,ni023,Age - 8 Categories,Count,Person,Age - 8 Categories: 75+ years
All PEOPLE,ni0240001,ni024,Age - 4 Categories,Count,Person,Age - 4 Categories: All PEOPLE
0-15 years,ni0240002,ni024,Age - 4 Categories,Count,Person,Age - 4 Categories: 0-15 years
16-39 years,ni0240003,ni024,Age - 4 Categories,Count,Person,Age - 4 Categories: 16-39 years
40-64 years,ni0240004,ni024,Age - 4 Categories,Count,Person,Age - 4 Categories: 40-64 years
65+ years,ni0240005,ni024,Age - 4 Categories,Count,Person,Age - 4 Categories: 65+ years
All PEOPLE,ni0250001,ni025,Age,Count,Person,Age: All PEOPLE
0 years,ni0250002,ni025,Age,Count,Person,Age: 0 years
1 year,ni0250003,ni025,Age,Count,Person,Age: 1 year
2 years,ni0250004,ni025,Age,Count,Person,Age: 2 years
3 years,ni0250005,ni025,Age,Count,Person,Age: 3 years
4 years,ni0250006,ni025,Age,Count,Person,Age: 4 years
5 years,ni0250007,ni025,Age,Count,Person,Age: 5 years
6 years,ni0250008,ni025,Age,Count,Person,Age: 6 years
7 years,ni0250009,ni025,Age,Count,Person,Age: 7 years
8 years,ni0250010,ni025,Age,Count,Person,Age: 8 years
9 years,ni0250011,ni025,Age,Count,Person,Age: 9 years
10 years,ni0250012,ni025,Age,Count,Person,Age: 10 years
11 years,ni0250013,ni025,Age,Count,Person,Age: 11 years
12 years,ni0250014,ni025,Age,Count,Person,Age: 12 years
13 years,ni0250015,ni025,Age,Count,Person,Age: 13 years
14 years,ni0250016,ni025,Age,Count,Person,Age: 14 years
15 years,ni0250017,ni025,Age,Count,Person,Age: 15 years
16 years,ni0250018,ni025,Age,Count,Person,Age: 16 years
17 years,ni0250019,ni025,Age,Count,Person,Age: 17 years
18 years,ni0250020,ni025,Age,Count,Person,Age: 18 years
19 years,ni0250021,ni025,Age,Count,Person,Age: 19 years
20 years,ni0250022,ni025,Age,Count,Person,Age: 20 years
21 years,ni0250023,ni025,Age,Count,Person,Age: 21 years
22 years,ni0250024,ni025,Age,Count,Person,Age: 22 years
23 years,ni0250025,ni025,Age,Count,Person,Age: 23 years
24 years,ni0250026,ni025,Age,Count,Person,Age: 24 years
25 years,ni0250027,ni025,Age,Count,Person,Age: 25 years
26 years,ni0250028,ni025,Age,Count,Person,Age: 26 years
27 years,ni0250029,ni025,Age,Count,Person,Age: 27 years
28 years,ni0250030,ni025,Age,Count,Person,Age: 28 years
29 years,ni0250031,ni025,Age,Count,Person,Age: 29 years
30 years,ni0250032,ni025,Age,Count,Person,Age: 30 years
31 years,ni0250033,ni025,Age,Count,Person,Age: 31 years
32 years,ni0250034,ni025,Age,Count,Person,Age: 32 years
33 years,ni0250035,ni025,Age,Count,Person,Age: 33 years
34 years,ni0250036,ni025,Age,Count,Person,Age: 34 years
35 years,ni0250037,ni025,Age,Count,Person,Age: 35 years
36 years,ni0250038,ni025,Age,Count,Person,Age: 36 years
37 years,ni0250039,ni025,Age,Count,Person,Age: 37 years
38 years,ni0250040,ni025,Age,Count,Person,Age: 38 years
39 years,ni0250041,ni025,Age,Count,Person,Age: 39 years
40 years,ni0250042,ni025,Age,Count,Person,Age: 40 years
41 years,ni0250043,ni025,Age,Count,Person,Age: 41 years
42 years,ni0250044,ni025,Age,Count,Person,Age: 42 years
43 years,ni0250045,ni025,Age,Count,Person,Age: 43 years
44 years,ni0250046,ni025,Age,Count,Person,Age: 44 years
45 years,ni0250047,ni025,Age,Count,Person,Age: 45 years
46 years,ni0250048,ni025,Age,Count,Person,Age: 46 years
47 years,ni0250049,ni025,Age,Count,Person,Age: 47 years
48 years,ni0250050,ni025,Age,Count,Person,Age: 48 years
49 years,ni0250051,ni025,Age,Count,Person,Age: 49 years
50 years,ni0250052,ni025,Age,Count,Person,Age: 50 years
51 years,ni0250053,ni025,Age,Count,Person,Age: 51 years
52 years,ni0250054,ni025,Age,Count,Person,Age: 52 years
53 years,ni0250055,ni025,Age,Count,Person,Age: 53 years
54 years,ni0250056,ni025,Age,Count,Person,Age: 54 years
