Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
Three or more people working or studying in the household - Mixture of driving a car or van and working at home,UV7020019,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - Mixture of driving a car or van and working at home
Three or more people working or studying in the household - Mixture of other method and working at home,UV7020020,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - Mixture of other method and working at home
"Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home",UV7020021,UV702,Method of travel to work or study,Count,Household,"Method of travel to work or study - Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
All people aged 16 and over in employment the week before the census: All people aged 16 and over in employment the week before the census,UV604b0001,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - All people aged 16 and over in employment the week before the census: All people aged 16 and over in employment the week before the census
All people aged 16 and over in employment the week before the census: 16 to 24,UV604b0002,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - All people aged 16 and over in employment the week before the census: 16 to 24
All people aged 16 and over in employment the week before the census: 25 to 34,UV604b0003,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - All people aged 16 and over in employment the week before the census: 25 to 34
All people aged 16 and over in employment the week before the census: 35 to 49,UV604b0004,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - All people aged 16 and over in employment the week before the census: 35 to 49
All people aged 16 and over in employment the week before the census: 50 to 64,UV604b0005,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - All people aged 16 and over in employment the week before the census: 50 to 64
All people aged 16 and over in employment the week before the census: 65 and over,UV604b0006,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - All people aged 16 and over in employment the week before the census: 65 and over
0 to 15 hours: All people aged 16 and over in employment the week before the census,UV604b0007,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 0 to 15 hours: All people aged 16 and over in employment the week before the census
0 to 15 hours: 16 to 24,UV604b0008,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 0 to 15 hours: 16 to 24
0 to 15 hours: 25 to 34,UV604b0009,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 0 to 15 hours: 25 to 34
0 to 15 hours: 35 to 49,UV604b0010,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 0 to 15 hours: 35 to 49
0 to 15 hours: 50 to 64,UV604b0011,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 0 to 15 hours: 50 to 64
0 to 15 hours: 65 and over,UV604b0012,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 0 to 15 hours: 65 and over
16 to 30 hours: All people aged 16 and over in employment the week before the census,UV604b0013,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 16 to 30 hours: All people aged 16 and over in employment the week before the census
16 to 30 hours: 16 to 24,UV604b0014,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 16 to 30 hours: 16 to 24
16 to 30 hours: 25 to 34,UV604b0015,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 16 to 30 hours: 25 to 34
16 to 30 hours: 35 to 49,UV604b0016,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 16 to 30 hours: 35 to 49
16 to 30 hours: 50 to 64,UV604b0017,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 16 to 30 hours: 50 to 64
16 to 30 hours: 65 and over,UV604b0018,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 16 to 30 hours: 65 and over
31 to 48 hours: All people aged 16 and over in employment the week before the census,UV604b0019,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 31 to 48 hours: All people aged 16 and over in employment the week before the census
31 to 48 hours: 16 to 24,UV604b0020,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 31 to 48 hours: 16 to 24
31 to 48 hours: 25 to 34,UV604b0021,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 31 to 48 hours: 25 to 34
31 to 48 hours: 35 to 49,UV604b0022,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 31 to 48 hours: 35 to 49
31 to 48 hours: 50 to 64,UV604b0023,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 31 to 48 hours: 50 to 64
31 to 48 hours: 65 and over,UV604b0024,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 31 to 48 hours: 65 and over
49 or more hours: All people aged 16 and over in employment the week before the census,UV604b0025,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 49 or more hours: All people aged 16 and over in employment the week before the census
49 or more hours: 16 to 24,UV604b0026,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 49 or more hours: 16 to 24
49 or more hours: 25 to 34,UV604b0027,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 49 or more hours: 25 to 34
49 or more hours: 35 to 49,UV604b0028,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 49 or more hours: 35 to 49
49 or more hours: 50 to 64,UV604b0029,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 49 or more hours: 50 to 64
49 or more hours: 65 and over,UV604b0030,UV604b,Hours worked by age (5),Count,Person,Hours worked by age (5) - 49 or more hours: 65 and over
All people aged 16 and over in households,UV1060001,UV106,Living arrangements,Count,Person,Living arrangements - All people aged 16 and over in households
Living in a couple: Total,UV1060002,UV106,Living arrangements,Count,Person,Living arrangements - Living in a couple: Total
Living in a couple: Married or civil partnership couple,UV1060003,UV106,Living arrangements,Count,Person,Living arrangements - Living in a couple: Married or civil partnership couple
Living in a couple: Cohabiting,UV1060004,UV106,Living arrangements,Count,Person,Living arrangements - Living in a couple: Cohabiting
Not living in a couple: Total,UV1060005,UV106,Living arrangements,Count,Person,Living arrangements - Not living in a couple: Total
Not living in a couple: Single (never married or never in a registered civil partnership),UV1060006,UV106,Living arrangements,Count,Person,Living arrangements - Not living in a couple: Single (never married or never in a registered civil partnership)
Not living in a couple: Married or in a registered civil partnership,UV1060007,UV106,Living arrangements,Count,Person,Living arrangements - Not living in a couple: Married or in a registered civil partnership
Not living in a couple: Separated (but still legally married or still legally in a civil partnership),UV1060008,UV106,Living arrangements,Count,Person,Living arrangements - Not living in a couple: Separated (but still legally married or still legally in a civil partnership)
Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,UV1060009,UV106,Living arrangements,Count,Person,Living arrangements - Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved
Not living in a couple: Widowed or surviving partner from a civil partnership,UV1060010,UV106,Living arrangements,Count,Person,Living arrangements - Not living in a couple: Widowed or surviving partner from a civil partnership
All people aged 3 and over: All people aged 3 and over,UV209b0001,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: All people aged 3 and over
All people aged 3 and over: 3 - 15,UV209b0002,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: 3 - 15
All people aged 3 and over: 16 - 24,UV209b0003,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: 16 - 24
All people aged 3 and over: 25 - 34,UV209b0004,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: 25 - 34
All people aged 3 and over: 35 - 49,UV209b0005,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: 35 - 49
All people aged 3 and over: 50 - 64,UV209b0006,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: 50 - 64
All people aged 3 and over: 65 and over,UV209b0007,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - All people aged 3 and over: 65 and over
"Understands but does not speak, read or write Scots: All people aged 3 and over",UV209b0008,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: All people aged 3 and over"
"Understands but does not speak, read or write Scots: 3 - 15",UV209b0009,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: 3 - 15"
"Understands but does not speak, read or write Scots: 16 - 24",UV209b0010,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: 16 - 24"
"Understands but does not speak, read or write Scots: 25 - 34",UV209b0011,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: 25 - 34"
"Understands but does not speak, read or write Scots: 35 - 49",UV209b0012,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: 35 - 49"
"Understands but does not speak, read or write Scots: 50 - 64",UV209b0013,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: 50 - 64"
"Understands but does not speak, read or write Scots: 65 and over",UV209b0014,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Understands but does not speak, read or write Scots: 65 and over"
"Speaks, reads and writes Scots: All people aged 3 and over",UV209b0015,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: All people aged 3 and over"
"Speaks, reads and writes Scots: 3 - 15",UV209b0016,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: 3 - 15"
"Speaks, reads and writes Scots: 16 - 24",UV209b0017,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: 16 - 24"
"Speaks, reads and writes Scots: 25 - 34",UV209b0018,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: 25 - 34"
"Speaks, reads and writes Scots: 35 - 49",UV209b0019,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: 35 - 49"
"Speaks, reads and writes Scots: 50 - 64",UV209b0020,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: 50 - 64"
"Speaks, reads and writes Scots: 65 and over",UV209b0021,UV209b,Scots language skills (7) by age,Count,Person,"Scots language skills (7) by age - Speaks, reads and writes Scots: 65 and over"
Speaks but does not read or write Scots: All people aged 3 and over,UV209b0022,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: All people aged 3 and over
Speaks but does not read or write Scots: 3 - 15,UV209b0023,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: 3 - 15
Speaks but does not read or write Scots: 16 - 24,UV209b0024,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: 16 - 24
Speaks but does not read or write Scots: 25 - 34,UV209b0025,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: 25 - 34
Speaks but does not read or write Scots: 35 - 49,UV209b0026,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: 35 - 49
Speaks but does not read or write Scots: 50 - 64,UV209b0027,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: 50 - 64
Speaks but does not read or write Scots: 65 and over,UV209b0028,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks but does not read or write Scots: 65 and over
Speaks and reads but does not write Scots: All people aged 3 and over,UV209b0029,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: All people aged 3 and over
Speaks and reads but does not write Scots: 3 - 15,UV209b0030,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: 3 - 15
Speaks and reads but does not write Scots: 16 - 24,UV209b0031,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: 16 - 24
Speaks and reads but does not write Scots: 25 - 34,UV209b0032,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: 25 - 34
Speaks and reads but does not write Scots: 35 - 49,UV209b0033,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: 35 - 49
Speaks and reads but does not write Scots: 50 - 64,UV209b0034,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: 50 - 64
Speaks and reads but does not write Scots: 65 and over,UV209b0035,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Speaks and reads but does not write Scots: 65 and over
Reads but does not speak or write Scots: All people aged 3 and over,UV209b0036,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: All people aged 3 and over
Reads but does not speak or write Scots: 3 - 15,UV209b0037,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: 3 - 15
Reads but does not speak or write Scots: 16 - 24,UV209b0038,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: 16 - 24
Reads but does not speak or write Scots: 25 - 34,UV209b0039,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: 25 - 34
Reads but does not speak or write Scots: 35 - 49,UV209b0040,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: 35 - 49
Reads but does not speak or write Scots: 50 - 64,UV209b0041,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: 50 - 64
Reads but does not speak or write Scots: 65 and over,UV209b0042,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Reads but does not speak or write Scots: 65 and over
Other combination of skills in Scots: All people aged 3 and over,UV209b0043,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: All people aged 3 and over
Other combination of skills in Scots: 3 - 15,UV209b0044,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: 3 - 15
Other combination of skills in Scots: 16 - 24,UV209b0045,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: 16 - 24
Other combination of skills in Scots: 25 - 34,UV209b0046,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: 25 - 34
Other combination of skills in Scots: 35 - 49,UV209b0047,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: 35 - 49
Other combination of skills in Scots: 50 - 64,UV209b0048,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: 50 - 64
Other combination of skills in Scots: 65 and over,UV209b0049,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - Other combination of skills in Scots: 65 and over
No skills in Scots: All people aged 3 and over,UV209b0050,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: All people aged 3 and over
No skills in Scots: 3 - 15,UV209b0051,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: 3 - 15
No skills in Scots: 16 - 24,UV209b0052,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: 16 - 24
No skills in Scots: 25 - 34,UV209b0053,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: 25 - 34
No skills in Scots: 35 - 49,UV209b0054,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: 35 - 49
No skills in Scots: 50 - 64,UV209b0055,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: 50 - 64
No skills in Scots: 65 and over,UV209b0056,UV209b,Scots language skills (7) by age,Count,Person,Scots language skills (7) by age - No skills in Scots: 65 and over
All people: All people,UV201b0001,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: All people
All people: 0 - 15,UV201b0002,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: 0 - 15
All people: 16 - 24,UV201b0003,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: 16 - 24
All people: 25 - 34,UV201b0004,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: 25 - 34
All people: 35 - 49,UV201b0005,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: 35 - 49
All people: 50 - 64,UV201b0006,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: 50 - 64
All people: 65 and over,UV201b0007,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - All people: 65 and over
White: Total: All people,UV201b0008,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: All people
White: Total: 0 - 15,UV201b0009,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: 0 - 15
White: Total: 16 - 24,UV201b0010,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: 16 - 24
White: Total: 25 - 34,UV201b0011,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: 25 - 34
White: Total: 35 - 49,UV201b0012,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: 35 - 49
White: Total: 50 - 64,UV201b0013,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: 50 - 64
White: Total: 65 and over,UV201b0014,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Total: 65 and over
White: White Scottish: All people,UV201b0015,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: All people
White: White Scottish: 0 - 15,UV201b0016,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: 0 - 15
White: White Scottish: 16 - 24,UV201b0017,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: 16 - 24
White: White Scottish: 25 - 34,UV201b0018,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: 25 - 34
White: White Scottish: 35 - 49,UV201b0019,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: 35 - 49
White: White Scottish: 50 - 64,UV201b0020,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: 50 - 64
White: White Scottish: 65 and over,UV201b0021,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Scottish: 65 and over
White: Other White British: All people,UV201b0022,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: All people
White: Other White British: 0 - 15,UV201b0023,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: 0 - 15
White: Other White British: 16 - 24,UV201b0024,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: 16 - 24
White: Other White British: 25 - 34,UV201b0025,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: 25 - 34
White: Other White British: 35 - 49,UV201b0026,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: 35 - 49
White: Other White British: 50 - 64,UV201b0027,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: 50 - 64
White: Other White British: 65 and over,UV201b0028,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Other White British: 65 and over
White: White Irish: All people,UV201b0029,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: All people
White: White Irish: 0 - 15,UV201b0030,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: 0 - 15
White: White Irish: 16 - 24,UV201b0031,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: 16 - 24
White: White Irish: 25 - 34,UV201b0032,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: 25 - 34
White: White Irish: 35 - 49,UV201b0033,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: 35 - 49
White: White Irish: 50 - 64,UV201b0034,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: 50 - 64
White: White Irish: 65 and over,UV201b0035,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Irish: 65 and over
White: Gypsy/ Traveller: All people,UV201b0036,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: All people
White: Gypsy/ Traveller: 0 - 15,UV201b0037,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: 0 - 15
White: Gypsy/ Traveller: 16 - 24,UV201b0038,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: 16 - 24
White: Gypsy/ Traveller: 25 - 34,UV201b0039,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: 25 - 34
White: Gypsy/ Traveller: 35 - 49,UV201b0040,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: 35 - 49
White: Gypsy/ Traveller: 50 - 64,UV201b0041,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: 50 - 64
White: Gypsy/ Traveller: 65 and over,UV201b0042,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: Gypsy/ Traveller: 65 and over
White: White Polish: All people,UV201b0043,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: All people
White: White Polish: 0 - 15,UV201b0044,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: 0 - 15
White: White Polish: 16 - 24,UV201b0045,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: 16 - 24
White: White Polish: 25 - 34,UV201b0046,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: 25 - 34
White: White Polish: 35 - 49,UV201b0047,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: 35 - 49
White: White Polish: 50 - 64,UV201b0048,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: 50 - 64
White: White Polish: 65 and over,UV201b0049,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - White: White Polish: 65 and over
Other White: All people,UV201b0050,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: All people
Other White: 0 - 15,UV201b0051,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: 0 - 15
Other White: 16 - 24,UV201b0052,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: 16 - 24
Other White: 25 - 34,UV201b0053,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: 25 - 34
Other White: 35 - 49,UV201b0054,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: 35 - 49
Other White: 50 - 64,UV201b0055,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: 50 - 64
Other White: 65 and over,UV201b0056,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Other White: 65 and over
Mixed or multiple ethnic group: All people,UV201b0057,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Mixed or multiple ethnic group: All people
Mixed or multiple ethnic group: 0 - 15,UV201b0058,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Mixed or multiple ethnic group: 0 - 15
Mixed or multiple ethnic group: 16 - 24,UV201b0059,UV201b,Ethnic group (19) by age (6),Count,Person,Ethnic group (19) by age (6) - Mixed or multiple ethnic group: 16 - 24
